BGN	FGFR3
BGN	TLR2
BGN	TLR4
BMP1	BMPR1A
BMP1	BMPR1B
BMP1	BMPR2
BMP2	ACVR1
BMP2	ACVR2A
BMP2	ACVR2B
BMP2	ACVRL1
BMP2	AMHR2
BMP2	BAMBI
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	CDH11
BMP2	ENG
BMP2	FGFR3
BMP2	GPC1
BMP2	GREM1
BMP2	HJV
BMP2	LIMK1
BMP2	MAPK1
BMP2	MAPK14
BMP2	MMP9
BMP2	MMP13
BMP2	PTEN
BMP2	RGMB
BMP2	SMO
BMP3	ACVR1
BMP3	ACVR1B
BMP3	ACVR2A
BMP3	ACVR2B
BMP3	BMPR1A
BMP3	BMPR1B
BMP3	BMPR2
BMP3	TGFB1
BMP4	ACACA
BMP4	ACVR1
BMP4	ACVR2A
BMP4	ACVR2B
BMP4	ACVRL1
BMP4	AMHR2
BMP4	BAMBI
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP4	CFC1
BMP4	GREM2
BMP4	HJV
BMP4	LRP6
BMP4	MMP9
BMP4	PDCD1
BMP4	RGMB
BMP4	VEGFA
BMP5	ACVR1
BMP5	ACVR2A
BMP5	ACVR2B
BMP5	ACVRL1
BMP5	AMHR2
BMP5	BMPR1A
BMP5	BMPR1B
BMP5	BMPR2
BMP5	HJV
BMP5	MAPK1
BMP6	ACVR1
BMP6	ACVR2A
BMP6	ACVR2B
BMP6	ACVRL1
BMP6	AMHR2
BMP6	BAMBI
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP6	CDH5
BMP6	ESR1
BMP6	FSHR
BMP6	HJV
BMP7	ACVR1
BMP7	ACVR1B
BMP7	ACVR2A
BMP7	ACVR2B
BMP7	ACVRL1
BMP7	AMHR2
BMP7	BAMBI
BMP7	BMPR1A
BMP7	BMPR1B
BMP7	BMPR2
BMP7	CDK2
BMP7	ENG
BMP7	HJV
BMP7	MAPK3
BMP7	PTK2
BMP7	PTPRK
BMP7	TNF
BMP8A	ACVR1
BMP8A	ACVR2A
BMP8A	ACVR2B
BMP8A	ACVRL1
BMP8A	AMHR2
BMP8A	BMPR1A
BMP8A	BMPR1B
